Director;Año;Película
Christopher Nolan;2010;Inception
Sean Penn;2007;Into the Wild
John Dahl;1998;Rounders
James McTeigue;2006;V for Vendetta
Christopher Nolan;2000;Memento
Ridley Scott;2000;Gladiator
Richard Kelly;2001;Donnie Darko
Gus Van Sant;1997;Good Will Hunting
Todd Phillips;2009;The Hangover
Clint Eastwood;2008;Gran Torino
Eric Bress;2004;The Butterfly Effect
Robert Rodriguez;2005;Sin City
Guy Ritchie;2000;Snatch
Ridley Scott;2010;Robin Hood
Ron Howard;2001;Beautiful Mind
Jason Reitman;2007;Juno
Ron Howard;2005;Cinderella Man
Martin Brest;1998;Meet Joe Black
Robert Rodriguez;2007;Planet Terror
John G. Avildsen;1976;Rocky
Sylvester Stallone;1979;Rocky II
Sylvester Stallone;1982;Rocky III
Gavin O'Connor;2011;Warrior
Marc Webb;2009;500 Days of Summer
Guy Ritchie;2009;Sherlock Holmes
Quentin Tarantino;1994;Pulp Fiction
Quentin Tarantino;2009;Inglourious Basterds
